Lens ID,Publication Year
000-043-284-737-952,2008
000-047-515-304-58X,2015
000-052-068-277-941,2020
000-052-854-878-701,2019
000-098-845-822-734,2021
000-103-721-054-319,2018
000-129-711-010-713,2015
000-141-590-582-206,2020
000-145-633-651-389,2015
000-160-207-328-410,2008
000-166-888-496-395,2021
000-168-262-849-469,2021
000-214-010-702-705,2018
000-238-267-072-792,2020
000-244-116-737-014,2004
000-245-523-084-561,
000-335-926-235-407,2021
000-352-774-589-920,2014
000-407-766-188-954,2019
000-526-557-717-786,2009
000-536-164-861-321,2020
000-692-918-915-854,2015
000-783-546-350-111,2018
000-786-580-843-52X,2008
000-796-178-810-331,2011
000-818-376-061-073,2015
000-871-244-903-243,2016
000-967-264-929-711,2016
000-973-205-909-762,2011
000-977-611-375-653,2019
001-010-342-233-724,2015
001-066-965-154-160,2021
001-093-590-331-40X,2007
001-096-800-400-869,2005
001-099-084-874-353,2021
001-118-047-384-823,2017
001-121-643-542-397,2011
001-167-070-593-990,2021
001-170-738-316-123,2015
001-174-673-485-935,2017
001-186-328-923-592,2005
001-227-346-346-045,1999
001-282-266-252-542,2020
001-311-774-332-709,2021
001-366-814-146-758,2019
001-405-765-988-404,2020
001-414-125-798-682,2020
001-420-466-302-746,2017
001-426-740-928-926,2019
001-431-279-418-78X,2011
001-448-219-232-853,2018
001-461-492-356-124,2020
001-465-362-796-98X,2016
001-492-552-727-030,2006
001-494-190-832-050,2020
001-537-689-115-584,2017
001-541-325-218-322,2021
001-542-055-789-057,2006
001-556-260-532-354,2006
001-569-341-334-950,
001-572-233-854-358,2016
001-576-881-147-799,2007
001-698-852-654-383,2021
001-727-419-002-552,2013
001-755-480-535-428,2020
001-860-465-361-655,2005
001-903-033-868-038,2013
001-905-496-377-541,2016
001-917-640-000-369,2014
001-931-518-065-506,2014
001-934-139-369-167,2009
001-976-314-398-017,2021
002-017-431-781-552,2018
002-018-893-821-111,2019
002-019-780-594-324,2015
002-039-220-062-942,2018
002-047-258-285-658,2016
002-063-640-743-429,2013
002-110-806-780-385,2013
002-113-257-515-047,2018
002-157-147-910-016,2015
002-163-657-369-937,2011
002-181-005-061-362,2021
002-213-269-367-596,2015
002-229-244-134-709,2016
002-231-298-494-788,2021
002-244-034-173-529,2013
002-273-458-296-664,2016
002-305-138-298-162,2006
002-325-728-499-077,2018
002-326-648-515-975,2017
002-327-876-713-951,2018
002-341-147-447-21X,2015
002-368-544-513-583,2010
002-379-222-162-26X,2010
002-385-680-362-008,2013
002-413-306-004-740,2001
002-421-765-613-14X,2014
002-438-689-128-193,2013
002-454-689-804-964,2021
002-472-297-494-409,1983
002-486-531-770-019,2018
002-549-450-968-838,2009
002-579-599-731-06X,2014
002-650-894-907-637,2019
002-706-277-014-083,2021
002-708-196-528-102,2019
002-709-180-470-633,2012
002-760-760-589-909,2007
002-810-501-517-153,2004
002-882-305-953-823,2021
002-886-431-695-309,2012
002-893-984-642-149,2017
002-895-663-758-932,2015
002-910-457-917-800,2017
002-911-784-916-391,2007
002-957-064-208-622,2020
002-959-704-197-714,2005
002-967-600-088-986,2018
002-971-907-797-981,2020
002-982-928-750-238,2015
