Lens ID,Publication Year
000-014-566-638-95X,2015
000-015-776-161-63X,2020
000-038-294-512-566,2019
000-055-170-568-052,2016
000-058-392-875-764,2011
000-060-270-904-734,2019
000-078-077-305-938,2018
000-086-726-579-868,2013
000-092-001-424-632,2019
000-097-022-626-818,2016
000-100-507-595-364,2017
000-101-008-120-756,2013
000-101-566-855-028,2017
000-103-032-610-826,2018
000-118-874-708-151,2012
000-120-630-451-102,2021
000-137-843-401-863,2020
000-141-250-605-619,2015
000-149-314-216-812,2020
000-161-986-943-870,2011
000-162-059-795-680,2011
000-173-398-057-512,2008
000-181-438-862-648,2021
000-206-050-224-699,2017
000-221-748-838-84X,2012
000-224-541-200-201,2019
000-256-468-907-070,2019
000-266-662-247-968,2017
000-274-358-874-000,2020
000-274-411-071-080,2013
000-283-496-948-121,2016
000-293-303-350-449,2014
000-295-984-558-075,2017
000-307-782-914-76X,2015
000-310-080-063-70X,2015
000-312-884-814-061,2016
000-320-709-345-974,2014
000-323-389-301-772,2014
000-337-477-702-565,2013
000-338-686-355-12X,2016
000-341-675-387-633,2015
000-351-628-438-425,2020
000-352-738-998-09X,2016
000-386-850-931-210,2016
000-387-038-186-621,2019
000-387-250-732-01X,2020
000-393-773-769-867,2012
000-403-929-603-190,2018
000-419-571-898-970,2019
000-430-891-939-601,2016
000-432-589-153-05X,2020
000-433-510-494-295,2015
000-445-729-109-492,2017
000-447-159-316-99X,2015
000-447-805-725-318,2011
000-450-350-878-63X,2017
000-450-494-202-209,2012
000-456-309-534-71X,2015
000-461-623-415-117,2020
000-487-036-352-735,2011
000-496-486-596-782,2017
000-509-096-053-205,2017
000-514-835-809-018,2015
000-524-666-164-093,2017
000-548-969-549-587,2021
000-550-884-453-52X,2021
000-553-730-801-046,2013
000-556-304-453-994,
000-562-558-500-982,2018
000-566-718-386-209,2016
000-568-021-854-796,2020
000-578-772-599-852,2019
000-586-478-909-24X,2018
000-587-194-232-972,2014
000-598-200-860-873,2019
000-607-857-413-674,2016
000-631-320-816-879,2018
000-636-422-747-221,2020
000-666-833-147-471,2013
000-668-197-821-574,2020
000-678-596-854-612,2014
000-688-321-339-098,2019
000-689-208-954-851,2021
000-691-504-840-149,2017
000-697-217-950-238,2018
000-701-083-112-536,2013
000-706-044-122-873,2016
000-716-822-830-681,2020
000-721-721-410-617,2016
000-727-859-891-000,2019
000-728-400-858-80X,2017
000-741-198-262-557,2018
000-745-424-566-304,2013
000-745-643-906-727,2017
000-763-231-704-36X,2020
000-773-432-296-277,2017
000-777-623-869-400,2016
000-782-542-274-68X,2008
000-785-509-171-48X,2018
000-788-125-026-666,2016
000-804-892-306-172,2017
000-816-227-348-039,2014
000-816-575-120-129,2014
000-817-504-876-636,2019
000-830-132-825-008,2020
000-831-863-794-254,2018
000-831-866-050-496,2016
000-845-200-828-975,2018
000-846-032-039-583,2018
000-853-665-602-714,2013
000-858-367-281-687,2020
000-869-193-900-524,2017
000-873-128-678-316,
000-876-145-069-727,2010
000-877-060-298-170,2017
000-892-723-872-635,2017
000-892-901-458-876,2012
000-894-184-902-194,2010
000-897-632-603-942,2020
000-909-941-070-364,2014
000-930-785-999-820,2020
000-943-069-679-386,2020
000-952-647-546-492,2013
000-971-389-182-625,2011
000-977-842-316-175,2021
000-980-200-131-061,2014
000-981-964-199-343,2014
000-983-585-543-254,2020
001-022-173-511-233,2014
001-033-076-142-644,2018
001-041-739-093-178,2012
001-044-082-734-957,2016
001-055-670-279-739,2021
001-056-901-390-608,2019
001-059-417-461-578,2020
001-067-345-150-200,2017
001-084-845-807-840,2016
001-087-447-508-160,2015
001-106-816-770-588,2020
001-123-403-384-552,2015
001-178-653-048-218,2015
001-188-781-428-062,2020
001-197-753-203-549,
001-198-900-616-576,2020
001-199-101-112-229,2016
001-208-020-085-005,2021
001-210-684-947-985,2018
001-211-380-457-164,2020
001-222-230-377-20X,2017
001-223-289-388-119,2016
001-228-404-916-902,2014
001-234-843-391-66X,2021
001-240-757-037-85X,2016
001-255-804-179-159,2019
001-258-153-244-757,2017
001-261-807-121-48X,2019
001-271-408-609-866,2013
001-294-179-468-984,2016
001-294-765-502-313,2020
001-311-197-974-161,2011
001-315-434-862-488,2019
001-318-275-061-096,2020
001-330-205-711-091,2021
001-331-035-904-37X,2014
001-332-333-715-002,2018
001-333-073-801-59X,2021
001-367-237-143-358,2015
001-379-210-585-437,
001-384-737-240-896,2018
001-390-380-263-227,2020
001-390-991-854-309,2013
001-399-184-123-578,2020
001-422-467-571-250,2019
001-427-350-747-542,
001-431-325-105-814,1983
001-442-102-589-704,2020
001-464-749-053-078,2005
001-491-653-059-700,2020
001-507-442-126-663,2020
